timestamp,date,style,ticker,signal,event,price,entry,stop,tp1,tp2,tp3,gain_pct,trade_id
2026-07-07T15:37:09+07:00,2026-07-07,Intraday,BSML,BUY,OPEN,525,525,513,549,,,0.0,Intraday::BSML::20260707153709
2026-07-07T23:26:43+07:00,2026-07-07,Swing Trading,SOSS,STRONG_BUY,TP1,893,835,871,893,970,1060,6.95,Swing Trading::SOSS::20260707090045
2026-07-07T23:26:43+07:00,2026-07-07,Swing Trading,SOSS,STRONG_BUY,TRAIL,871,835,871,893,970,1060,4.31,Swing Trading::SOSS::20260707090045
2026-07-08T09:01:53+07:00,2026-07-08,Swing Trading,ELPI,STRONG_BUY,TRAIL,1155,1140,1155,1310,1790,2030,1.32,Swing Trading::ELPI::20260707145153
2026-07-08T09:03:10+07:00,2026-07-08,Intraday,BDMN,BUY,TRAIL,3840,3740,3840,3825,4060,4090,2.67,Intraday::BDMN::20260702091217
2026-07-08T09:20:00+07:00,2026-07-08,Intraday,SGER,BUY,TRAIL,422,400,422,424,426,434,5.5,Intraday::SGER::20260707101755
2026-07-08T09:20:00+07:00,2026-07-08,Intraday,HATM,BUY,TRAIL,432,408,432,445,,,5.88,Intraday::HATM::20260707101755
2026-07-08T09:20:00+07:00,2026-07-08,Intraday,NEST,BUY,TP1,638,610,640,638,,,4.59,Intraday::NEST::20260707112353
2026-07-08T09:20:00+07:00,2026-07-08,Intraday,NEST,BUY,TRAIL,640,610,640,638,,,4.92,Intraday::NEST::20260707112353
2026-07-08T09:36:59+07:00,2026-07-08,Intraday,BSML,BUY,SL,513,525,513,549,,,-2.27,Intraday::BSML::20260707153709
2026-07-08T10:02:49+07:00,2026-07-08,Swing Trading,MPRO,BUY,TRAIL,9700,9000,9700,10285,10775,10800,7.78,Swing Trading::MPRO::20260707000248
2026-07-08T10:02:49+07:00,2026-07-08,Swing Trading,JRPT,STRONG_BUY,SL,1072,1075,1072,1090,1100,1110,-0.28,Swing Trading::JRPT::20260707111245
2026-07-08T10:45:08+07:00,2026-07-08,Intraday,CASA,BUY,TP1,1821,1800,2014,1821,1890,2000,1.17,Intraday::CASA::20260707091153
2026-07-08T10:45:08+07:00,2026-07-08,Intraday,CASA,BUY,TP2,1890,1800,2014,1821,1890,2000,5.0,Intraday::CASA::20260707091153
2026-07-08T10:45:08+07:00,2026-07-08,Intraday,CASA,BUY,TP3,2000,1800,2014,1821,1890,2000,11.11,Intraday::CASA::20260707091153
2026-07-08T10:45:08+07:00,2026-07-08,Intraday,CASA,BUY,TRAIL,2014,1800,2014,1821,1890,2000,11.89,Intraday::CASA::20260707091153
2026-07-08T11:03:58+07:00,2026-07-08,Swing Trading,FAPA,BUY,TRAIL,7436,7400,7436,7502,,,0.49,Swing Trading::FAPA::20260707100644
2026-07-08T11:19:15+07:00,2026-07-08,Intraday,TRUS,BUY,SL,499,550,499,652,660,740,-9.28,Intraday::TRUS::20260707112353
2026-07-09T12:44:35+07:00,2026-07-09,Swing Trading,NEST,BUY,TRAIL,630,620,630,696,,,1.61,Swing Trading::NEST::20260707093345
2026-07-09T12:44:35+07:00,2026-07-09,Swing Trading,SINI,BUY,TRAIL,10950,9975,10950,11605,13000,16500,9.77,Swing Trading::SINI::20260707100644
2026-07-09T13:32:30+07:00,2026-07-09,Long Term,DCII,BUY,TRAIL,199000,180500,199000,192681,210900,226150,10.25,Long Term::DCII::20260702022406
2026-07-09T13:32:30+07:00,2026-07-09,Long Term,ADES,BUY,TRAIL,33472,32500,33472,37470,,,2.99,Long Term::ADES::20260706153041
2026-07-09T13:32:30+07:00,2026-07-09,Long Term,PTPW,BUY,SL,1140,1180,1140,1340,1530,1725,-3.39,Long Term::PTPW::20260707092241
2026-07-09T13:32:30+07:00,2026-07-09,Long Term,SSIA,BUY,SL,1479,1540,1479,1662,1930,1975,-3.95,Long Term::SSIA::20260707151440
2026-07-09T13:46:20+07:00,2026-07-09,Swing Trading,TUGU,BUY,SL,1201,1205,1201,1275,1300,1310,-0.33,Swing Trading::TUGU::20260707000248
2026-07-09T13:46:20+07:00,2026-07-09,Swing Trading,DNET,BUY,TRAIL,9613,9475,9613,9900,9925,9950,1.46,Swing Trading::DNET::20260707114543
2026-07-09T13:46:20+07:00,2026-07-09,Swing Trading,TRIM,BUY,TRAIL,582,555,582,610,630,645,4.86,Swing Trading::TRIM::20260707152552
2026-07-10T10:02:35+07:00,2026-07-10,Swing Trading,BDMN,BUY,TRAIL,3990,3840,3990,4187,4290,4800,3.91,Swing Trading::BDMN::20260707093345
2026-07-16T13:32:19+07:00,2026-07-16,Long Term,ADMG,BUY,TP1,232,200,220,232,234,246,16.0,Long Term::ADMG::20260707092241
2026-07-16T13:32:19+07:00,2026-07-16,Long Term,ADMG,BUY,TP2,234,200,220,232,234,246,17.0,Long Term::ADMG::20260707092241
2026-07-16T13:32:19+07:00,2026-07-16,Long Term,ADMG,BUY,TRAIL,220,200,220,232,234,246,10.0,Long Term::ADMG::20260707092241
